0.867151 	0.494088  	0.062670  	-0.052670 	0.216095  	-0.974957 	-0.495254 	0.842135  	0.213410
0.871840 	0.485673  	0.063392  	0.019477  	0.094940  	-0.995300 	-0.489405 	0.868978  	0.073313
0.897059 	0.345892  	0.275037  	0.138571  	0.370811  	-0.918317 	-0.419625 	0.861898  	0.284709
0.960281 	-0.278115 	0.022653  	0.039600  	0.216183  	0.975556  	-0.276212 	-0.935911 	0.218609
0.898632 	-0.310547 	0.309875  	0.438662  	0.645883  	-0.624833 	-0.006105 	0.697425  	0.716635
0.913824 	-0.399082 	-0.075229 	0.133121  	0.119354  	0.983887  	-0.383673 	-0.909114 	0.162195
0.959823 	0.272643  	-0.066373 	-0.072636 	0.012924  	-0.997283 	-0.271042 	0.962037  	0.032208
0.715167 	-0.510007 	0.477948  	-0.303973 	0.388802  	0.869738  	-0.629398 	-0.767291 	0.123030
0.952203 	0.109904  	0.285010  	-0.305353 	0.367902  	0.878304  	-0.008329 	-0.923352 	0.383876
0.899478 	-0.434469 	0.046638  	0.047161  	-0.009583 	-0.998841 	0.434413  	0.900636  	0.011871
0.974711 	-0.223137 	-0.012176 	0.047187  	0.258767  	-0.964793 	0.218430  	0.939820  	0.262752
0.386146 	0.281178  	0.878544  	-0.450382 	0.888641  	-0.086452 	-0.805020 	-0.362294 	0.469781
0.979390 	0.185861  	-0.079068 	0.073364  	0.037369  	0.996613  	0.188185  	-0.981873 	0.022964
0.994324 	0.034425  	-0.100671 	0.084261  	0.322920  	0.942668  	0.064960  	-0.945800 	0.318186
0.876246 	0.481004  	-0.028824 	-0.051908 	0.153686  	0.986762  	0.479062  	-0.863151 	0.159633
0.934680 	0.337463  	0.111766  	0.092800  	0.071875  	-0.993087 	-0.343164 	0.938591  	0.035864
0.962965 	0.120625  	-0.241139 	0.201196  	0.273909  	0.940475  	0.179495  	-0.954161 	0.239496
0.920190 	-0.183321 	0.345897  	-0.227553 	0.468493  	0.853664  	-0.318546 	-0.864243 	0.389387
0.949104 	-0.047193 	-0.311409 	0.262574  	0.664591  	0.699557  	0.173946  	-0.745719 	0.643157
